Date,Cases,Deaths,CFR (%),Attack Rate (per 1000),Bulletin Type,Bulletin URL
2017-09-11,652542,2066,0.32,22.931,Daily Epidemiology update,http://www.emro.who.int/images/stories/yemen/Yemen_Cholera_Response_-_Daily_Epidemiological_Update_-_2017-09-11.pdf?ua=1
2017-09-10,646132,2065,0.32,22.705,Daily Epidemiology update,http://www.emro.who.int/images/stories/yemen/Yemen_Cholera_Response_-_Daily_Epidemiological_Update_-_2017-09-10.pdf?ua=1
2017-09-09,640609,2063,0.32,22.511,Daily Epidemiology update,http://www.emro.who.int/images/stories/yemen/Yemen_Cholera_Response_-_Daily_Epidemiological_Update_-_2017-09-09.pdf?ua=1
2017-09-08,635752,2062,0.32,22.341,Daily Epidemiology update,http://www.emro.who.int/images/stories/yemen/Yemen_Cholera_Response_-_Daily_Epidemiological_Update_-_2017-09-08.pdf?ua=1
2017-09-07,629493,2061,0.33,22.121,Daily Epidemiology update,http://www.emro.who.int/images/stories/yemen/Yemen_Cholera_Response_-_Daily_Epidemiological_Update_-_2017-09-07.pdf?ua=1
2017-09-06,624379,2055,0.33,21.941,Daily Epidemiology update,http://www.emro.who.int/images/stories/yemen/Yemen_Cholera_Response_-_Daily_Epidemiological_Update_-_2017-09-06.pdf?ua=1
2017-09-05,618209,2054,0.33,21.724,Daily Epidemiology update,http://www.emro.who.int/images/stories/yemen/Yemen_Cholera_Response_-_Daily_Epidemiological_Update_-_2017-09-05.pdf?ua=1
2017-09-04,612703,2048,0.33,21.531,Daily Epidemiology update,http://www.emro.who.int/images/stories/yemen/Yemen_Cholera_Response_-_Daily_Epidemiological_Update_-_2017-09-04.pdf?ua=1
2017-09-03,607065,2047,0.34,21.333,Daily Epidemiology update,http://www.emro.who.int/images/stories/yemen/Yemen_Cholera_Response_-_Daily_Epidemiological_Update_-_2017-09-03.pdf?ua=1
2017-09-02,602526,2043,0.34,21.173,Daily Epidemiology update,http://www.emro.who.int/images/stories/yemen/Yemen_Cholera_Response_-_Daily_Epidemiological_Update_-_2017-09-02.pdf?ua=1
2017-09-01,598763,2042,0.34,21.041,Daily Epidemiology update,http://www.emro.who.int/images/stories/yemen/Yemen_Cholera_Response_-_Daily_Epidemiological_Update_-_2017-09-01_2.pdf?ua=1
2017-08-31,595382,2038,0.34,20.922,Daily Epidemiology update,http://www.emro.who.int/images/stories/yemen/Yemen_Cholera_Response_-_Daily_Epidemiological_Update_-_2017-08-31.pdf?ua=1
2017-08-30,591100,2035,0.34,20.772,Daily Epidemiology update,http://www.emro.who.int/images/stories/yemen/Yemen_Cholera_Response_-_Daily_Epidemiological_Update_-_2017-08-30.pdf?ua=1
2017-08-29,585527,2033,0.35,20.576,Daily Epidemiology update,http://www.emro.who.int/images/stories/yemen/Yemen_Cholera_Response_-_Daily_Epidemiological_Update_-_2017-08-29.pdf?ua=1
2017-08-28,580827,2028,0.35,20.411,Daily Epidemiology update,http://www.emro.who.int/images/stories/yemen/Yemen_Cholera_Response_-_Daily_Epidemiological_Update_-_2017-08-28.pdf?ua=1
2017-08-27,575249,2025,0.35,20.215,Daily Epidemiology update,http://www.emro.who.int/images/stories/Yemen_Cholera_Response_-_Daily_Epidemiological_Update_-_2017-08-27.pdf?ua=1
