Rank , State , Per capita income , Median household income , Median family income , Population , Number of households , Number of families
0,District of Columbia ,45877.00,71648.00,84094.00,658893,277378,117864
1, Connecticut ,39373.00,70048.00,88819.00,3596677,1355817,887263
2, New Jersey ,37288.00,69160.00,87951.00,8938175,2549336,1610581
3, Massachusetts ,36593.00,71919.00,88419.00,6938608,3194844,2203675
4, Maryland ,36338.00,73971.00,89678.00,5976407,2165438,1445972
5, New Hampshire ,34691.00,66532.00,80581.00,1326813,519756,345901
6, Virginia ,34052.00,64902.00,78290.00,8326289,3083820,2058820
7, New York ,33095.00,58878.00,71115.00,19746227,7282398,4621954
8, North Dakota ,33071.00,59029.00,75221.00,739482,305431,187800
9, Alaska ,33062.00,71583.00,82307.00,736732,249659,165015
10, Minnesota ,32638.00,61481.00,77941.00,5457173,2129195,1369594
11, Colorado ,32357.00,61303.00,75405.00,5355866,2039592,1315283
12, Washington ,31841.00,61366.00,74193.00,7061530,2679601,1725099
13, Rhode Island ,30830.00,54891.00,71212.00,1055173,409654,257165
14, Delaware ,30488.00,59716.00,72594.00,935614,349743,233000
15, California ,30441.00,61933.00,71015.00,38802500,12758648,8762059
16, Illinois ,30417.00,57444.00,71796.00,12880580,4772421,3099184
17, Hawaii ,29736.00,69592.00,79187.00,1419561,450769,314151
18, Wyoming ,29698.00,57055.00,72460.00,584153,232594,149032
19, Pennsylvania ,29220.00,53234.00,67876.00,12787209,4945972,3185054
20, Vermont ,29178.00,54166.00,67154.00,626562,257229,162017
21, Iowa ,28361.00,53712.00,67771.00,3107126,1241471,801562
22, Wisconsin ,28213.00,52622.00,67187.00,5757564,2307685,1485877
23, Maine ,27978.00,49462.00,62078.00,1330089,549841,344585
24, Kansas ,27870.00,52504.00,66425.00,2904021,1109280,728602
25, Oregon ,27646.00,51075.00,62670.00,3970239,1535511,966250
26, Nebraska ,27446.00,52686.00,66120.00,1881503,740765,480317
27, Texas ,27125.00,53035.00,62830.00,26956958,9277197,6407165
28, South Dakota ,26959.00,50979.00,66936.00,853175,334475,211235
29, Ohio ,26937.00,49308.00,62300.00,11594163,4593172,2923523
30, Michigan ,26613.00,49847.00,62143.00,9909877,3834574,2485159
31, Florida ,26582.00,47463.00,57212.00,19893297,7328046,4693411
32, Missouri ,26126.00,48363.00,61299.00,6063589,2354809,1508816
33, Montana ,25989.00,46328.00,60643.00,1023579,410962,251176
34, North Carolina ,25774.00,46556.00,57380.00,9943964,3790620,2492048
35, Nevada ,25773.00,51450.00,60824.00,2839099,1021519,642461
36, Arizona ,25715.00,50068.00,59700.00,6731484,2428743,1579481
37, Georgia ,25615.00,49321.00,58885.00,10097343,3587521,2426392
38, Oklahoma ,25229.00,47529.00,58710.00,3878051,1459759,966516
39, Indiana ,25140.00,49446.00,60780.00,6596855,2502739,1657223
40, Tennessee ,24922.00,44361.00,55557.00,6549352,2509665,1660344
41, Utah ,24877.00,60922.00,69535.00,2942902,918370,691495
42, Louisiana ,24800.00,44555.00,56573.00,4649676,1718194,1112659
43, South Carolina ,24596.00,45238.00,56491.00,4832482,1826914,1201616
44, Idaho ,23938.00,47861.00,58101.00,1634464,591587,407499
45, Kentucky ,23684.00,42958.00,54776.00,4413457,1712094,1124586
46, New Mexico ,23683.00,44803.00,54705.00,2085572,760916,489532
47, Alabama ,23606.00,42830.00,53764.00,4849377,1841217,1232515
48, Arkansas ,22883.00,41262.00,51528.00,2966369,1131288,752212
49, West Virginia ,22714.00,41059.00,52413.00,1850326,735375,472869
50, Mississippi ,21036.00,39680.00,50178.00,2994079,1095823,738463
