Precinct Name , REGISTERED VOTERS , BALLOTS CAST , TURNOUT
  City of Ann Arbor Ward 1 Precinct 1 , 3385 , 1449 , 42.81%
  City of Ann Arbor Ward 1 Precinct 2 , 1844 , 902 , 48.92%
  City of Ann Arbor Ward 1 Precinct 3 , 1669 , 671 , 40.20%
  City of Ann Arbor Ward 1 Precinct 4 , 1184 , 652 , 55.07%
  City of Ann Arbor Ward 1 Precinct 5 , 1794 , 1070 , 59.64%
  City of Ann Arbor Ward 1 Precinct 6 , 1641 , 833 , 50.76%
  City of Ann Arbor Ward 1 Precinct 7 , 1852 , 818 , 44.17%
  City of Ann Arbor Ward 1 Precinct 8 , 1699 , 1247 , 73.40%
  City of Ann Arbor Ward 1 Precinct 9 , 2911 , 1766 , 60.67%
  City of Ann Arbor Ward 1 Precinct 10 , 2183 , 1456 , 66.70%
  City of Ann Arbor Ward 2 Precinct 1 , 1549 , 753 , 48.61%
  City of Ann Arbor Ward 2 Precinct 2 , 2828 , 1235 , 43.67%
  City of Ann Arbor Ward 2 Precinct 3 , 2498 , 918 , 36.75%
  City of Ann Arbor Ward 2 Precinct 4 , 1697 , 1246 , 73.42%
  City of Ann Arbor Ward 2 Precinct 5 , 1879 , 1390 , 73.98%
  City of Ann Arbor Ward 2 Precinct 6 , 2010 , 1420 , 70.65%
  City of Ann Arbor Ward 2 Precinct 7 , 2239 , 1525 , 68.11%
  City of Ann Arbor Ward 2 Precinct 8 , 1842 , 1265 , 68.68%
  City of Ann Arbor Ward 2 Precinct 9 , 2423 , 1561 , 64.42%
  City of Ann Arbor Ward 3 Precinct 1 , 2412 , 1199 , 49.71%
  City of Ann Arbor Ward 3 Precinct 2 , 2851 , 1262 , 44.27%
  City of Ann Arbor Ward 3 Precinct 3 , 2719 , 1887 , 69.40%
  City of Ann Arbor Ward 3 Precinct 4 , 2161 , 1460 , 67.56%
  City of Ann Arbor Ward 3 Precinct 5 , 2416 , 1493 , 61.80%
  City of Ann Arbor Ward 3 Precinct 6 , 1763 , 1112 , 63.07%
  City of Ann Arbor Ward 3 Precinct 7 , 1842 , 1328 , 72.10%
  City of Ann Arbor Ward 3 Precinct 8 , 2140 , 1430 , 66.82%
  City of Ann Arbor Ward 3 Precinct 9 , 2167 , 1448 , 66.82%
  City of Ann Arbor Ward 4 Precinct 1 , 1825 , 895 , 49.04%
  City of Ann Arbor Ward 4 Precinct 2 , 1229 , 598 , 48.66%
  City of Ann Arbor Ward 4 Precinct 3 , 3034 , 1315 , 43.34%
  City of Ann Arbor Ward 4 Precinct 4 , 2273 , 1529 , 67.27%
  City of Ann Arbor Ward 4 Precinct 5 , 2283 , 1301 , 56.99%
  City of Ann Arbor Ward 4 Precinct 6 , 2212 , 1521 , 68.76%
  City of Ann Arbor Ward 4 Precinct 7 , 2053 , 1583 , 77.11%
  City of Ann Arbor Ward 4 Precinct 8 , 2416 , 1273 , 52.69%
  City of Ann Arbor Ward 4 Precinct 9 , 1624 , 1212 , 74.63%
  City of Ann Arbor Ward 4 Precinct 10 , 1642 , 864 , 52.62%
  City of Ann Arbor Ward 5 Precinct 1 , 1809 , 965 , 53.34%
  City of Ann Arbor Ward 5 Precinct 2 , 3066 , 1766 , 57.60%
  City of Ann Arbor Ward 5 Precinct 3 , 1496 , 877 , 58.62%
  City of Ann Arbor Ward 5 Precinct 4 , 2176 , 1514 , 69.58%
  City of Ann Arbor Ward 5 Precinct 5 , 2388 , 1622 , 67.92%
  City of Ann Arbor Ward 5 Precinct 6 , 1765 , 1209 , 68.50%
  City of Ann Arbor Ward 5 Precinct 7 , 1630 , 881 , 54.05%
  City of Ann Arbor Ward 5 Precinct 8 , 1152 , 862 , 74.83%
  City of Ann Arbor Ward 5 Precinct 9 , 2094 , 1534 , 73.26%
  City of Ann Arbor Ward 5 Precinct 10 , 2434 , 1663 , 68.32%
  City of Ann Arbor Ward 5 Precinct 11 , 2730 , 1978 , 72.45%
  City of Chelsea Precinct 1 , 2475 , 1914 , 77.33%
  City of Chelsea Precinct 2 , 1882 , 1351 , 71.79%
  City of Dexter Precinct 1 , 1845 , 1432 , 77.62%
  City of Dexter Precinct 2 , 1357 , 1102 , 81.21%
  City of Milan Precinct 1W , 2867 , 2103 , 73.35%
  City of Saline Precinct 1 , 2445 , 1790 , 73.21%
  City of Saline Precinct 2 , 1982 , 1515 , 76.44%
  City of Saline Precinct 3 , 2755 , 2089 , 75.83%
  City of Ypsilanti Ward 1 Precinct 1 , 1877 , 857 , 45.66%
  City of Ypsilanti Ward 1 Precinct 2 , 2212 , 1043 , 47.15%
  City of Ypsilanti Ward 1 Precinct 3 , 1662 , 732 , 44.04%
  City of Ypsilanti Ward 2 Precinct 1 , 1094 , 777 , 71.02%
  City of Ypsilanti Ward 2 Precinct 2 , 1408 , 926 , 65.77%
  City of Ypsilanti Ward 2 Precinct 3 , 1148 , 800 , 69.69%
  City of Ypsilanti Ward 2 Precinct 4 , 2013 , 874 , 43.42%
  City of Ypsilanti Ward 3 Precinct 1 , 1548 , 722 , 46.64%
  City of Ypsilanti Ward 3 Precinct 2 , 1508 , 913 , 60.54%
  City of Ypsilanti Ward 3 Precinct 3 , 1874 , 1075 , 57.36%
  Ann Arbor Township Precinct 1 , 1656 , 1339 , 80.86%
  Ann Arbor Township Precinct 2 , 1939 , 1472 , 75.92%
  Augusta Township Precinct 1 , 1822 , 1330 , 73.00%
  Augusta Township Precinct 2 , 1456 , 987 , 67.79%
  Augusta Township Precinct 3 , 2039 , 1366 , 66.99%
  Bridgewater Township Precinct 1 , 1332 , 1022 , 76.73%
  Dexter Township Precinct 1 , 2069 , 1691 , 81.73%
  Dexter Township Precinct 2 , 1946 , 1512 , 77.70%
  Dexter Township Precinct 3 , 1232 , 909 , 73.78%
  Freedom Township Precinct 1 , 1236 , 947 , 76.62%
  Lima Township Precinct 1 , 3001 , 2357 , 78.54%
  Lodi Township Precinct 1 , 1789 , 1469 , 82.11%
  Lodi Township Precinct 2 , 2027 , 1670 , 82.39%
  Lodi Township Precinct 3 , 1125 , 846 , 75.20%
  Lyndon Township Precinct 1 , 2183 , 1685 , 77.19%
  Manchester Township Precinct 1 , 1817 , 1231 , 67.75%
  Manchester Township Precinct 2 , 2058 , 1535 , 74.59%
  Northfield Township Precinct 1 , 2829 , 1923 , 67.97%
  Northfield Township Precinct 2 , 1934 , 1528 , 79.01%
  Northfield Township Precinct 3 , 1844 , 1177 , 63.83%
  Pittsfield Charter Township Precinct 1 , 2794 , 2018 , 72.23%
  Pittsfield Charter Township Precinct 2 , 2475 , 1637 , 66.14%
  Pittsfield Charter Township Precinct 3 , 2678 , 1886 , 70.43%
  Pittsfield Charter Township Precinct 4 , 2814 , 1620 , 57.57%
  Pittsfield Charter Township Precinct 5 , 1236 , 925 , 74.84%
  Pittsfield Charter Township Precinct 6 , 2653 , 2022 , 76.22%
  Pittsfield Charter Township Precinct 7 , 2662 , 1937 , 72.76%
  Pittsfield Charter Township Precinct 8 , 3138 , 2432 , 77.50%
  Pittsfield Charter Township Precinct 9 , 3128 , 2425 , 77.53%
  Pittsfield Charter Township Precinct 10 , 1957 , 1255 , 64.13%
  Salem Township Precinct 1 , 1776 , 1389 , 78.21%
  Salem Township Precinct 2 , 2204 , 1532 , 69.51%
  Salem Township Precinct 3 , 1295 , 1037 , 80.08%
  Saline Township Precinct 1 , 1737 , 1218 , 70.12%
  Scio Township Precinct 2 , 1074 , 869 , 80.91%
  Scio Township Precinct 3 , 1348 , 1074 , 79.67%
  Scio Township Precinct 4 , 1362 , 1115 , 81.86%
  Scio Township Precinct 5 , 1782 , 1153 , 64.70%
  Scio Township Precinct 6 , 1567 , 1202 , 76.71%
