Rank , State , Life.Expectancy
1, Hawaii ,81.3
2, Minnesota ,81.1
3, Connecticut ,80.8
4, California ,80.8
5, Massachusetts ,80.5
6, New York ,80.5
7, Vermont ,80.5
8, New Hampshire ,80.3
9, New Jersey ,80.3
10, Utah ,80.2
11, Colorado ,80
12, Wisconsin ,80
13, Washington ,79.9
14, Rhode Island ,79.9
15, Nebraska ,79.8
16, Iowa ,79.7
17, Arizona ,79.6
18, North Dakota ,79.5
19, Oregon ,79.5
20, Idaho ,79.5
21, South Dakota ,79.5
22, Florida ,79.4
23, Maine ,79.2
24, Virginia ,79
25, Illinois ,79
26, Maryland ,78.8
27, Kansas ,78.7
28, Pennsylvania ,78.5
29, Montana ,78.5
30, Texas ,78.5
31, New Mexico ,78.4
32, Delaware ,78.4
33, Wyoming ,78.3
34, Alaska ,78.3
35, Michigan ,78.2
36, Nevada ,78.1
37, North Carolina ,77.8
38, Ohio ,77.8
39, Indiana ,77.6
40, Missouri ,77.5
41, Georgia ,77.2
42, South Carolina ,77
43, District of Columbia ,76.5
44, Tennessee ,76.3
45, Kentucky ,76
46, Arkansas ,76
47, Oklahoma ,75.9
48, Louisiana ,75.7
49, Alabama ,75.4
50, West Virginia ,75.4
51, Mississippi ,75
