
PRECINCT.NAME , Trump-Pence.REP , Clinton-Kaine.DEM , Johnson-Weld.LIB , Castle-Bradley.UST , Stein-Baraka.GRN , Soltysik-Walker.NAT , Write-In
City of Ann Arbor Ward 1 Precinct 1 ,  137 ,  1250 ,  35 ,  4 ,  16 ,  0 ,  6
City of Ann Arbor Ward 1 Precinct 2 ,  95 ,  765 ,  18 ,  0 ,  11 ,  0 ,  10
City of Ann Arbor Ward 1 Precinct 3 ,  31 ,  596 ,  18 ,  2 ,  9 ,  0 ,  15
City of Ann Arbor Ward 1 Precinct 4 ,  31 ,  587 ,  11 ,  2 ,  9 ,  1 ,  7
City of Ann Arbor Ward 1 Precinct 5 ,  79 ,  939 ,  19 ,  1 ,  16 ,  0 ,  11
City of Ann Arbor Ward 1 Precinct 6 ,  68 ,  722 ,  22 ,  0 ,  10 ,  0 ,  8
City of Ann Arbor Ward 1 Precinct 7 ,  96 ,  672 ,  29 ,  0 ,  14 ,  0 ,  7
City of Ann Arbor Ward 1 Precinct 8 ,  123 ,  1075 ,  25 ,  0 ,  8 ,  0 ,  8
City of Ann Arbor Ward 1 Precinct 9 ,  276 ,  1382 ,  42 ,  5 ,  28 ,  0 ,  18
City of Ann Arbor Ward 1 Precinct 10 ,  160 ,  1200 ,  32 ,  5 ,  32 ,  2 ,  15
City of Ann Arbor Ward 2 Precinct 1 ,  68 ,  614 ,  24 ,  0 ,  16 ,  2 ,  24
City of Ann Arbor Ward 2 Precinct 2 ,  146 ,  1017 ,  47 ,  2 ,  11 ,  0 ,  11
City of Ann Arbor Ward 2 Precinct 3 ,  104 ,  767 ,  22 ,  1 ,  4 ,  0 ,  10
City of Ann Arbor Ward 2 Precinct 4 ,  174 ,  1024 ,  23 ,  0 ,  5 ,  0 ,  12
City of Ann Arbor Ward 2 Precinct 5 ,  198 ,  1120 ,  36 ,  1 ,  8 ,  1 ,  19
City of Ann Arbor Ward 2 Precinct 6 ,  213 ,  1114 ,  35 ,  3 ,  14 ,  1 ,  25
City of Ann Arbor Ward 2 Precinct 7 ,  220 ,  1220 ,  27 ,  0 ,  16 ,  0 ,  23
City of Ann Arbor Ward 2 Precinct 8 ,  197 ,  1004 ,  29 ,  1 ,  14 ,  0 ,  8
City of Ann Arbor Ward 2 Precinct 9 ,  252 ,  1224 ,  39 ,  2 ,  15 ,  1 ,  19
City of Ann Arbor Ward 3 Precinct 1 ,  116 ,  1040 ,  26 ,  0 ,  10 ,  0 ,  5
City of Ann Arbor Ward 3 Precinct 2 ,  104 ,  1104 ,  34 ,  0 ,  8 ,  0 ,  11
City of Ann Arbor Ward 3 Precinct 3 ,  139 ,  1663 ,  35 ,  1 ,  14 ,  0 ,  22
City of Ann Arbor Ward 3 Precinct 4 ,  168 ,  1186 ,  48 ,  2 ,  23 ,  0 ,  18
City of Ann Arbor Ward 3 Precinct 5 ,  215 ,  1199 ,  20 ,  7 ,  32 ,  2 ,  10
